ours: NUMBER hej joel | random: hej NUMBER joel
1.00 | 0.00
ours: med dubbla slag | random: med slag dubbla
1.00 | 0.00
ours: med en sten | random: sten med en
1.00 | 0.33
ours: med kniv troligen | random: troligen kniv med
1.00 | 0.00
ours: med uppdragna ben | random: med uppdragna ben
1.00 | 1.00
ours: medicinen heter trombolys | random: medicinen heter trombolys
1.00 | 1.00
ours: mej kvittar det | random: det kvittar mej
1.00 | 0.00
ours: men anton ler | random: ler men anton
1.00 | 0.33
ours: men bakom den | random: men bakom den
1.00 | 1.00
ours: men bara ett | random: bara men ett
1.00 | 0.00
ours: men bultandet fortsatte | random: men fortsatte bultandet
1.00 | 0.00
ours: men de finns | random: men finns de
1.00 | 0.00
ours: men den fastnade | random: fastnade den men
1.00 | 0.00
ours: men den tredje | random: men tredje den
1.00 | 0.00
ours: men det gick | random: men gick det
1.00 | 0.00
ours: men det misslyckades | random: men misslyckades det
1.00 | 0.00
ours: men farfar skrattade | random: farfar men skrattade
1.00 | 0.00
ours: men hade otur | random: otur men hade
1.00 | 0.33
ours: men hon ler | random: hon men ler
1.00 | 0.00
ours: men hon log | random: men hon log
1.00 | 1.00
ours: men ingen ingen | random: ingen men ingen
1.00 | 0.33
ours: men ingen risk | random: ingen risk men
1.00 | 0.33
ours: men inget svar | random: inget svar men
1.00 | 0.33
ours: men inte alla | random: men inte alla
1.00 | 1.00
ours: men inte felix | random: men felix inte
1.00 | 0.00
ours: men inte landslagets | random: landslagets inte men
1.00 | 0.00
ours: men inte riktigt | random: inte riktigt men
1.00 | 0.33
ours: men inte svensken | random: inte svensken men
1.00 | 0.33
ours: men inte vi | random: inte vi men
1.00 | 0.33
ours: men lugn bara | random: men bara lugn
1.00 | 0.00
ours: men mest du | random: du men mest
1.00 | 0.33
ours: men myran trivdes | random: men trivdes myran
1.00 | 0.00
ours: men nathalie vet | random: vet men nathalie
1.00 | 0.33
ours: men om mormor | random: om mormor men
1.00 | 0.33
ours: men protesterar jonathan | random: men jonathan protesterar
1.00 | 0.00
ours: men sa ditte | random: men sa ditte
1.00 | 1.00
ours: men se nu | random: se men nu
1.00 | 0.00
ours: men spelar roll | random: men spelar roll
1.00 | 1.00
ours: men vi pratade | random: vi men pratade
1.00 | 0.00
ours: men vill ni | random: ni men vill
1.00 | 0.33
ours: menar du allvar | random: du allvar menar
1.00 | 0.33
ours: menar du det | random: du det menar
1.00 | 0.33
ours: menar du mig | random: mig du menar
1.00 | 0.00
ours: metoden kallas rnai | random: rnai kallas metoden
1.00 | 0.00
ours: milo missade igen | random: milo missade igen
1.00 | 1.00
ours: milo reser sig | random: sig reser milo
1.00 | 0.00
ours: milo sprang hem | random: milo sprang hem
1.00 | 1.00
ours: milo svarar inte | random: inte svarar milo
1.00 | 0.00
ours: milo tog det | random: milo det tog
1.00 | 0.00
ours: mina ben darrade | random: darrade ben mina
1.00 | 0.00
ours: minns du det | random: du det minns
1.00 | 0.33
ours: minns du ingenting | random: minns du ingenting
1.00 | 1.00
ours: mirran bad hon | random: mirran bad hon
1.00 | 1.00
ours: mirran blev stel | random: mirran stel blev
1.00 | 0.00
ours: mirran himlar tillbaka | random: himlar tillbaka mirran
1.00 | 0.33
ours: mirran huttrade lite | random: mirran huttrade lite
1.00 | 1.00
ours: mirran i mitten | random: mirran i mitten
1.00 | 1.00
ours: mirran lilla vakna | random: lilla mirran vakna
1.00 | 0.00
ours: mirran lyssnade ivrigt | random: lyssnade ivrigt mirran
1.00 | 0.33
ours: mirran och jag | random: jag och mirran
1.00 | 0.00
ours: mirran ryckte till | random: ryckte mirran till
1.00 | 0.00
ours: mirran ryste till | random: ryste till mirran
1.00 | 0.33
ours: mirran sa han | random: han sa mirran
1.00 | 0.00
ours: mirran sa ingenting | random: ingenting mirran sa
1.00 | 0.33
ours: mirran stod handfallen | random: mirran stod handfallen
1.00 | 1.00
ours: mirran svarade inte | random: inte mirran svarade
1.00 | 0.33
ours: mirran tittade upp | random: tittade upp mirran
1.00 | 0.33
ours: missade du spiken | random: spiken missade du
1.00 | 0.33
ours: mitt i klubbhuset | random: mitt klubbhuset i
1.00 | 0.00
ours: mitt i natten | random: mitt natten i
1.00 | 0.00
ours: mitt i skogen | random: skogen mitt i
1.00 | 0.33
ours: mjukt och tyst | random: och mjukt tyst
1.00 | 0.00
ours: mmm mumlade hon | random: mmm hon mumlade
1.00 | 0.00
ours: mmm nickade felix | random: nickade mmm felix
1.00 | 0.00
ours: mmm sa elias | random: elias sa mmm
1.00 | 0.00
ours: mmm sa felix | random: felix mmm sa
1.00 | 0.33
ours: mmm sa hon | random: sa hon mmm
1.00 | 0.33
ours: mmm svarade felix | random: svarade felix mmm
1.00 | 0.33
ours: mmm svarar jag | random: mmm jag svarar
1.00 | 0.00
ours: mmmm sa jag | random: sa mmmm jag
1.00 | 0.00
ours: mmmm sa percy | random: sa mmmm percy
1.00 | 0.00
ours: moa flinade igen | random: flinade moa igen
1.00 | 0.00
ours: moa skrattade till | random: skrattade moa till
1.00 | 0.00
ours: mobilen pep till | random: till mobilen pep
1.00 | 0.33
ours: modiga och tokiga | random: och tokiga modiga
1.00 | 0.33
ours: monica selin kristdemokrat | random: kristdemokrat monica selin
1.00 | 0.33
ours: mormor du vet | random: mormor du vet
1.00 | 1.00
ours: mormor kan vakna | random: kan vakna mormor
1.00 | 0.33
ours: mormor ryckte till | random: mormor till ryckte
1.00 | 0.00
ours: mormor sa hon | random: hon sa mormor
1.00 | 0.00
ours: mormor svarade inte | random: svarade mormor inte
1.00 | 0.00
ours: mormors gamla amerikakoffert | random: mormors gamla amerikakoffert
1.00 | 1.00
ours: mormors lilla gryn | random: mormors gryn lilla
1.00 | 0.00
ours: motordriven sa han | random: sa motordriven han
1.00 | 0.00
ours: motorn har stannat | random: motorn har stannat
1.00 | 1.00
ours: mumlade eriks pappa | random: pappa eriks mumlade
1.00 | 0.00
ours: musiken var slut | random: musiken slut var
1.00 | 0.00
ours: mycket bra gjort | random: mycket bra gjort
1.00 | 1.00
ours: mycket fin begravning | random: fin mycket begravning
1.00 | 0.00
ours: mydoom kallas det | random: kallas mydoom det
1.00 | 0.00
ours: myndigheter och grannar | random: myndigheter och grannar
1.00 | 1.00
ours: myran bara stirrade | random: myran bara stirrade
1.00 | 1.00
ours: myran lyssnade allvarligt | random: allvarligt myran lyssnade
1.00 | 0.33
ours: myran och jag | random: och myran jag
1.00 | 0.00
ours: myran reste sig | random: reste sig myran
1.00 | 0.33
ours: myran skrek hon | random: myran skrek hon
1.00 | 1.00
ours: myran stannade upp | random: upp stannade myran
1.00 | 0.00
ours: myran stod kvar | random: kvar myran stod
1.00 | 0.33
ours: myrans och hennes | random: och myrans hennes
1.00 | 0.00
ours: mysig gammal slaf | random: gammal slaf mysig
1.00 | 0.33
ours: naturligtvis missar jag | random: missar naturligtvis jag
1.00 | 0.00
ours: nej absolut inte | random: nej absolut inte
1.00 | 1.00
ours: nej faktiskt inte | random: nej inte faktiskt
1.00 | 0.00
ours: nej flinade joakim | random: joakim nej flinade
1.00 | 0.33
ours: nej inte alls | random: alls inte nej
1.00 | 0.00
ours: nej inte direkt | random: direkt nej inte
1.00 | 0.33
ours: nej inte riktigt | random: nej riktigt inte
1.00 | 0.00
ours: nej inte speciellt | random: speciellt inte nej
1.00 | 0.00
ours: nej naturligtvis inte | random: inte naturligtvis nej
1.00 | 0.00
ours: nej sa ditte | random: nej ditte sa
1.00 | 0.00
ours: nej sa han | random: sa nej han
1.00 | 0.00
ours: nej sa hon | random: nej hon sa
1.00 | 0.00
ours: nej sa jag | random: sa jag nej
1.00 | 0.33
ours: nej sa joakim | random: sa joakim nej
1.00 | 0.33
ours: nej sa pappa | random: pappa nej sa
1.00 | 0.33
ours: nej skrek jag | random: nej jag skrek
1.00 | 0.00
ours: nej svarade viktor | random: svarade nej viktor
1.00 | 0.00
ours: nej svarar inez | random: svarar inez nej
1.00 | 0.33
ours: nej tack alma | random: tack alma nej
1.00 | 0.33
ours: nej till amerika | random: nej amerika till
1.00 | 0.00
ours: nej till landslaget | random: landslaget nej till
1.00 | 0.33
ours: nej visst ja | random: nej ja visst
1.00 | 0.00
ours: ner till fotbollsplanen | random: till fotbollsplanen ner
1.00 | 0.33
ours: nick svarade inte | random: svarade nick inte
1.00 | 0.00
ours: nickar och ler | random: nickar ler och
1.00 | 0.00
ours: nitton andra skadades | random: skadades andra nitton
1.00 | 0.00
ours: nix sa felix | random: sa felix nix
1.00 | 0.33
ours: nix sa myran | random: sa myran nix
1.00 | 0.33
ours: nja sa jalle | random: sa jalle nja
1.00 | 0.33
ours: nja sa nick | random: nick nja sa
1.00 | 0.33
ours: norge tog bronsmedaljen | random: bronsmedaljen tog norge
1.00 | 0.00
ours: norge tog guldet | random: norge tog guldet
1.00 | 1.00
ours: nu blinkade han | random: nu blinkade han
1.00 | 1.00
ours: nu eller aldrig | random: eller aldrig nu
1.00 | 0.33
ours: nu fattar jag | random: fattar nu jag
1.00 | 0.00
ours: nu flyger vi | random: vi flyger nu
1.00 | 0.00
ours: nu galopperar vi | random: vi nu galopperar
1.00 | 0.33
ours: nu kommer det | random: kommer det nu
1.00 | 0.33
ours: nu kommer han | random: kommer han nu
1.00 | 0.33
ours: nu kommer lisa | random: nu lisa kommer
1.00 | 0.00
ours: nu ler jenny | random: nu jenny ler
1.00 | 0.00
ours: nu slutade larmet | random: nu larmet slutade
1.00 | 0.00
ours: nu slutar hon | random: nu hon slutar
1.00 | 0.00
ours: nu sover vi | random: nu sover vi
1.00 | 1.00
ours: nu spelar vi | random: vi nu spelar
1.00 | 0.33
ours: nu vet hon | random: hon nu vet
1.00 | 0.33
ours: nu vet jag | random: jag nu vet
1.00 | 0.33
ours: nyss sa jag | random: sa jag nyss
1.00 | 0.33
ours: och august karlsson | random: august och karlsson
1.00 | 0.00
ours: och du med | random: du med och
1.00 | 0.33
ours: och en kaffekanna | random: kaffekanna och en
1.00 | 0.33
ours: och en trasa | random: en trasa och
1.00 | 0.33
ours: och ett brev | random: brev och ett
1.00 | 0.33
ours: och ett foto | random: och foto ett
1.00 | 0.00
ours: och ett spett | random: och ett spett
1.00 | 1.00
ours: och ganska elakt | random: ganska elakt och
1.00 | 0.33
ours: och gissa var | random: och var gissa
1.00 | 0.00
ours: och inte blixten | random: och blixten inte
1.00 | 0.00
ours: och inuti bron | random: inuti och bron
1.00 | 0.00
ours: och jag trodde | random: trodde och jag
1.00 | 0.33
ours: och kommer hit | random: och kommer hit
1.00 | 1.00
ours: och lina kanske | random: lina kanske och
1.00 | 0.33
ours: och min fot | random: min och fot
1.00 | 0.00
ours: och mormor gick | random: gick mormor och
1.00 | 0.00
ours: och mycket riktigt | random: mycket riktigt och
1.00 | 0.33
ours: och nu joel | random: nu och joel
1.00 | 0.00
ours: och spara halva | random: spara och halva
1.00 | 0.00
ours: och trevlig sommar | random: trevlig och sommar
1.00 | 0.00
ours: offret blev knivskuren | random: knivskuren offret blev
1.00 | 0.33
ours: oh sole mio | random: sole mio oh
1.00 | 0.33
ours: oj sa oskar | random: oj oskar sa
1.00 | 0.00
ours: oj utbrast felix | random: felix oj utbrast
1.00 | 0.33
ours: okej jag ringer | random: jag ringer okej
1.00 | 0.33
ours: okej sa allan | random: allan sa okej
1.00 | 0.00
ours: okej sa hon | random: sa hon okej
1.00 | 0.33
ours: okej sa jag | random: okej jag sa
1.00 | 0.00
ours: okej sa mirran | random: okej sa mirran
1.00 | 1.00
ours: okej sade felix | random: sade felix okej
1.00 | 0.33
ours: okej viskar jag | random: okej jag viskar
1.00 | 0.00
ours: om du fattar | random: du om fattar
1.00 | 0.00
ours: om du vill | random: vill om du
1.00 | 0.33
ours: om han ringer | random: om ringer han
1.00 | 0.00
ours: om hon ringer | random: om ringer hon
1.00 | 0.00
ours: om inez vill | random: inez vill om
1.00 | 0.33
ours: om kyrkans historia | random: historia kyrkans om
1.00 | 0.00
ours: om vi vill | random: vill vi om
1.00 | 0.00
ours: omkring trettio skadades | random: skadades omkring trettio
1.00 | 0.33
ours: oops sa han | random: oops sa han
1.00 | 1.00
ours: opp till sommarstugan | random: sommarstugan opp till
1.00 | 0.33
ours: organisationen heter sabo | random: sabo heter organisationen
1.00 | 0.00
ours: oroa dej inte | random: inte dej oroa
1.00 | 0.00
ours: oscar tittar upp | random: upp tittar oscar
1.00 | 0.00
ours: oskar sa inget | random: oskar sa inget
1.00 | 1.00
ours: ost eller korv | random: eller ost korv
1.00 | 0.00
ours: ovanligt men fint | random: fint ovanligt men
1.00 | 0.33
ours: pappa blir rasande | random: pappa blir rasande
1.00 | 1.00
ours: pappa dukade av | random: pappa av dukade
1.00 | 0.00
ours: pappa fattade noll | random: noll fattade pappa
1.00 | 0.00
ours: pappa hade nickat | random: pappa hade nickat
1.00 | 1.00
ours: pappa ler lugnande | random: ler lugnande pappa
1.00 | 0.33
ours: pappa sa pappa | random: pappa pappa sa
1.00 | 0.33
ours: pappa sprang efter | random: efter pappa sprang
1.00 | 0.33
ours: pappa stannade bilen | random: stannade bilen pappa
1.00 | 0.33
ours: pappa suckar lite | random: lite pappa suckar
1.00 | 0.33
ours: pappa var yrvaken | random: yrvaken var pappa
1.00 | 0.00
ours: pappa visste inte | random: visste pappa inte
1.00 | 0.00
ours: passningen var perfekt | random: var perfekt passningen
1.00 | 0.33
ours: patron han dog | random: dog han patron
1.00 | 0.00
ours: patron och familjen | random: familjen patron och
1.00 | 0.33
ours: patron skrek hon | random: skrek hon patron
1.00 | 0.33
ours: pengarna tog slut | random: tog pengarna slut
1.00 | 0.00
ours: pepparkakorna blev svarta | random: svarta blev pepparkakorna
1.00 | 0.00
ours: perfekta sa jag | random: perfekta jag sa
1.00 | 0.00
ours: pia sa jag | random: jag pia sa
1.00 | 0.33
ours: pjoltmaja sa mormor | random: sa pjoltmaja mormor
1.00 | 0.00
ours: planet gungade till | random: gungade planet till
1.00 | 0.00
ours: planet hade torkat | random: hade planet torkat
1.00 | 0.00
ours: plask plask plask | random: plask plask plask
1.00 | 1.00
ours: platsen heter clab | random: clab heter platsen
1.00 | 0.00
ours: poewe tog guldmedaljen | random: guldmedaljen poewe tog
1.00 | 0.33
ours: polisen log litet | random: polisen log litet
1.00 | 1.00
ours: ponny och lisa | random: lisa ponny och
1.00 | 0.33
ours: potatis ringar koner | random: koner ringar potatis
1.00 | 0.00
ours: potta och piss | random: och piss potta
1.00 | 0.33
ours: prata inte nu | random: inte prata nu
1.00 | 0.00
ours: pratar ni aldrig | random: aldrig ni pratar
1.00 | 0.00
ours: pratar och pratar | random: pratar och pratar
1.00 | 1.00
ours: precis mumlar vi | random: mumlar precis vi
1.00 | 0.00
ours: precis som jenny | random: precis jenny som
1.00 | 0.00
ours: precis som lillasyster | random: lillasyster som precis
1.00 | 0.00
ours: precis som majsans | random: precis som majsans
1.00 | 1.00
ours: precis som mormor | random: mormor precis som
1.00 | 0.33
ours: precis som tim | random: precis som tim
1.00 | 1.00
ours: precis som vi | random: precis som vi
1.00 | 1.00
ours: protesterna har tystnat | random: har protesterna tystnat
1.00 | 0.00
ours: punkt och slut | random: slut och punkt
1.00 | 0.00
ours: puss och kram | random: och kram puss
1.00 | 0.33
ours: pussas viskar alva | random: viskar pussas alva
1.00 | 0.00
ours: raddi minns genast | random: genast raddi minns
1.00 | 0.33
ours: raja och melody | random: och raja melody
1.00 | 0.00
ours: rasmus bryter tystnaden | random: bryter rasmus tystnaden
1.00 | 0.00
ours: rasten var slut | random: var slut rasten
1.00 | 0.33
ours: regeringen gjorde planen | random: planen regeringen gjorde
1.00 | 0.33
ours: rektorn blev skadad | random: rektorn skadad blev
1.00 | 0.00
ours: resultatet var ynkligt | random: var resultatet ynkligt
1.00 | 0.00
ours: retades med henne | random: med retades henne
1.00 | 0.00
ours: ricke nickade surt | random: ricke surt nickade
1.00 | 0.00
ours: rider du barbacka | random: du rider barbacka
1.00 | 0.00
ours: rolig och arg | random: rolig arg och
1.00 | 0.00
ours: ropade ditte tillbaka | random: ditte tillbaka ropade
1.00 | 0.33
ours: ropade han glatt | random: han glatt ropade
1.00 | 0.33
ours: ropade han tillbaka | random: ropade han tillbaka
1.00 | 1.00
ours: ropade jag igen | random: ropade igen jag
1.00 | 0.00
ours: ropade tomas pappa | random: ropade pappa tomas
1.00 | 0.00
ours: ropar alva igen | random: ropar alva igen
1.00 | 1.00
ours: ropar birgit ilsket | random: ilsket ropar birgit
1.00 | 0.33
ours: ropar emil tillbaka | random: emil ropar tillbaka
1.00 | 0.00
ours: ropar en tjej | random: ropar en tjej
1.00 | 1.00
ours: ropar han igen | random: ropar han igen
1.00 | 1.00
ours: ropar han stolt | random: stolt ropar han
1.00 | 0.33
ours: ropar han till | random: till han ropar
1.00 | 0.00
ours: ropar han tillbaka | random: han tillbaka ropar
1.00 | 0.33
ours: ropar hela klassen | random: klassen hela ropar
1.00 | 0.00
ours: ropar hon sedan | random: hon ropar sedan
1.00 | 0.00
ours: ropar hon triumferande | random: triumferande hon ropar
1.00 | 0.00
ours: ropar jag lyckligt | random: lyckligt ropar jag
1.00 | 0.33
ours: ropar jag tillbaka | random: ropar jag tillbaka
1.00 | 1.00
ours: ropar jonathan tillbaka | random: tillbaka ropar jonathan
1.00 | 0.33
ours: ropar maja tillbaka | random: maja ropar tillbaka
1.00 | 0.00
ours: ropar maja triumferande | random: ropar maja triumferande
1.00 | 1.00
ours: ropar majsan ivrigt | random: ivrigt ropar majsan
1.00 | 0.33
ours: ropar majsans morfar | random: ropar morfar majsans
1.00 | 0.00
ours: ebba och rut | random: och ebba rut
0.00 | 0.33
ours: rycker i tussen | random: tussen rycker i
1.00 | 0.33
ours: ryssland vann damstafetten | random: vann ryssland damstafetten
1.00 | 0.00
ours: sa arvid rask | random: rask sa arvid
1.00 | 0.33
ours: sa erik glatt | random: sa erik glatt
1.00 | 1.00
ours: sa erik ironiskt | random: erik sa ironiskt
1.00 | 0.00
ours: sa erik irriterat | random: irriterat erik sa
1.00 | 0.00
ours: sa erik ivrigt | random: ivrigt erik sa
1.00 | 0.00
ours: sa erik oroligt | random: erik sa oroligt
1.00 | 0.00
ours: sa erik surt | random: erik surt sa
1.00 | 0.33
ours: sa eriks mamma | random: eriks mamma sa
1.00 | 0.33
ours: sa glada molnet | random: sa molnet glada
1.00 | 0.00
ours: sa han glatt | random: glatt han sa
1.00 | 0.00
ours: sa han igen | random: sa igen han
1.00 | 0.00
ours: sa han ilsket | random: sa ilsket han
1.00 | 0.00
ours: sa han imponerat | random: sa imponerat han
1.00 | 0.00
ours: sedan sa han | random: sa han sedan
0.33 | 1.00
ours: sa han stolt | random: stolt sa han
1.00 | 0.33
ours: sa han surt | random: sa han surt
1.00 | 1.00
ours: sa han tyst | random: han tyst sa
1.00 | 0.33
ours: sa han vi | random: sa vi han
1.00 | 0.00
ours: sa han yrvaket | random: han yrvaket sa
1.00 | 0.33
ours: sa hon bara | random: sa bara hon
1.00 | 0.00
ours: sa hon liten | random: sa hon liten
1.00 | 1.00
ours: sa hon sedan | random: sa sedan hon
1.00 | 0.00
ours: sa hon surt | random: surt sa hon
1.00 | 0.33
ours: sa hon tyst | random: tyst sa hon
1.00 | 0.33
ours: sa jag surt | random: surt jag sa
1.00 | 0.00
ours: sa min bror | random: bror sa min
1.00 | 0.33
ours: sa pappa ivrigt | random: ivrigt pappa sa
1.00 | 0.00
ours: sa sara glatt | random: glatt sara sa
1.00 | 0.00
ours: sa tomas pappa | random: tomas sa pappa
1.00 | 0.00
ours: sa uffe e | random: sa e uffe
1.00 | 0.00
ours: sa uffe rickberg | random: uffe rickberg sa
1.00 | 0.33
ours: saaben funkar inte | random: funkar inte saaben
1.00 | 0.33
ours: sablar sa percy | random: percy sa sablar
1.00 | 0.00
ours: sagt och gjort | random: sagt gjort och
1.00 | 0.00
ours: saknar du henne | random: saknar du henne
1.00 | 1.00
ours: saknar han mig | random: han mig saknar
1.00 | 0.33
ours: samla ihop tyglarna | random: ihop tyglarna samla
1.00 | 0.33
ours: samma dumma dass | random: dumma dass samma
1.00 | 0.33
ours: samma gamla dass | random: gamla samma dass
1.00 | 0.00
ours: samma gamla hus | random: hus samma gamla
1.00 | 0.33
ours: samma som jag | random: som jag samma
1.00 | 0.33
ours: samma trista fors | random: trista fors samma
1.00 | 0.33
ours: samordningsminister sedan NUMBER | random: NUMBER sedan samordningsminister
1.00 | 0.00
ours: samra sa inget | random: samra inget sa
1.00 | 0.00
ours: samra svarade inte | random: inte samra svarade
1.00 | 0.33
ours: sara sa inget | random: sara sa inget
1.00 | 1.00
ours: sara var sjuk | random: sara var sjuk
1.00 | 1.00
ours: satte sig ner | random: satte ner sig
1.00 | 0.00
ours: sedan ett till | random: till sedan ett
1.00 | 0.33
ours: sedan fattade han | random: han fattade sedan
1.00 | 0.00
ours: sedan flinade han | random: han flinade sedan
1.00 | 0.00
ours: sedan har vi | random: vi har sedan
1.00 | 0.00
ours: sedan kom klasse | random: klasse kom sedan
1.00 | 0.00
ours: sedan kommer jag | random: sedan kommer jag
1.00 | 1.00
ours: sedan kommer maja | random: maja kommer sedan
1.00 | 0.00
ours: sedan med joel | random: sedan joel med
1.00 | 0.00
ours: sedan minns hon | random: sedan hon minns
1.00 | 0.00
ours: sedan nickade han | random: nickade sedan han
1.00 | 0.00
ours: sedan serverades mat | random: mat sedan serverades
1.00 | 0.33
ours: sedan somnade han | random: han somnade sedan
1.00 | 0.00
ours: sedan somnade hon | random: sedan somnade hon
1.00 | 1.00
ours: sedan stannade den | random: den stannade sedan
1.00 | 0.00
ours: sedan stortjuter jag | random: jag sedan stortjuter
1.00 | 0.33
ours: sen flyr han | random: flyr sen han
1.00 | 0.00
ours: sen kom anton | random: anton kom sen
1.00 | 0.00
ours: sen ser hon | random: ser hon sen
1.00 | 0.33
ours: sen skrattar hon | random: skrattar hon sen
1.00 | 0.33
ours: sen somnar de | random: somnar de sen
1.00 | 0.33
ours: senare dog pojken | random: dog senare pojken
1.00 | 0.00
ours: sepp brukar lyda | random: lyda brukar sepp
1.00 | 0.00
ours: ser du inte | random: ser inte du
1.00 | 0.00
ours: ser du kyrktornet | random: kyrktornet ser du
1.00 | 0.33
ours: ser du nu | random: nu du ser
1.00 | 0.00
ours: ser du svarten | random: ser svarten du
1.00 | 0.00
ours: ses vi igen | random: vi igen ses
1.00 | 0.33
ours: sex personer dog | random: dog sex personer
1.00 | 0.33
ours: sida vid sida | random: sida sida vid
1.00 | 0.33
ours: simon och jag | random: och simon jag
1.00 | 0.00
ours: sistan kom hit | random: sistan hit kom
1.00 | 0.00
ours: sju sa pappa | random: sa sju pappa
1.00 | 0.00
ours: sjukdomen heter prrs | random: heter sjukdomen prrs
1.00 | 0.00
ours: ska du dit | random: dit ska du
1.00 | 0.33
ours: ska du resa | random: du resa ska
1.00 | 0.33
ours: ska du studera | random: studera du ska
1.00 | 0.00
ours: ska du ut | random: ut du ska
1.00 | 0.00
ours: ska vara hemma | random: vara hemma ska
1.00 | 0.33
ours: ska vi bada | random: ska vi bada
1.00 | 1.00
ours: ska vi dansa | random: dansa ska vi
1.00 | 0.33
ours: ska vi sadla | random: vi ska sadla
1.00 | 0.00
ours: vi ska sova | random: ska sova vi
0.00 | 0.00
ours: ska vi sticka | random: vi ska sticka
1.00 | 0.00
ours: ska vi trava | random: ska vi trava
1.00 | 1.00
ours: skit i henne | random: henne i skit
1.00 | 0.00
ours: skit i honom | random: honom i skit
1.00 | 0.00
ours: skitsnack svarade jonathan | random: svarade skitsnack jonathan
1.00 | 0.00
ours: skralt muttrade tobias | random: skralt tobias muttrade
1.00 | 0.00
ours: skrek galne hugo | random: galne skrek hugo
1.00 | 0.00
ours: skriker de andra | random: skriker andra de
1.00 | 0.00
ours: skriker jag ilsket | random: jag ilsket skriker
1.00 | 0.33
ours: skriv en lista | random: lista en skriv
1.00 | 0.00
ours: skriva ett brev | random: skriva brev ett
1.00 | 0.00
ours: skruvade och cykelsparkade | random: cykelsparkade skruvade och
1.00 | 0.33
ours: skulle jag brumma | random: skulle brumma jag
1.00 | 0.00
ours: skulle jag svara | random: jag skulle svara
1.00 | 0.00
ours: skulle mamma eskil | random: mamma eskil skulle
1.00 | 0.33
ours: skynda dig mamma | random: skynda mamma dig
1.00 | 0.00
ours: skynda dig mormor | random: mormor dig skynda
1.00 | 0.00
ours: skynda dig nu | random: skynda nu dig
1.00 | 0.00
ours: skynda dig tess | random: tess dig skynda
1.00 | 0.00
ours: slappna av tess | random: slappna av tess
1.00 | 1.00
ours: slog du dig | random: dig du slog
1.00 | 0.00
ours: sluta nu mamma | random: mamma sluta nu
1.00 | 0.33
ours: sluta nu pappa | random: nu pappa sluta
1.00 | 0.33
ours: smakar det bra | random: smakar bra det
1.00 | 0.00
ours: snabba dig nu | random: dig nu snabba
1.00 | 0.33
ours: snackar och snackar | random: snackar snackar och
1.00 | 0.33
ours: snart viskade han | random: snart han viskade
1.00 | 0.00
ours: sniglar och maskar | random: och sniglar maskar
1.00 | 0.00
ours: snyftade sven fix | random: snyftade sven fix
1.00 | 1.00
ours: snyggt sa han | random: sa snyggt han
1.00 | 0.00
ours: socialminister sedan NUMBER | random: NUMBER socialminister sedan
1.00 | 0.33
ours: socialsekreteraren har tystnadsplikt | random: socialsekreteraren tystnadsplikt har
1.00 | 0.00
ours: solen gick ner | random: gick solen ner
1.00 | 0.00
ours: som en blomsterkrans | random: som blomsterkrans en
1.00 | 0.00
ours: som en inbrottstjuv | random: inbrottstjuv en som
1.00 | 0.00
ours: som i dag | random: i dag som
1.00 | 0.33
ours: som tur var | random: som var tur
1.00 | 0.00
ours: som vaktade skatten | random: vaktade som skatten
1.00 | 0.00
ours: sommarstugorna du vet | random: sommarstugorna vet du
1.00 | 0.00
ours: soon muttrade han | random: soon muttrade han
1.00 | 1.00
ours: sorry sa han | random: sa sorry han
1.00 | 0.00
ours: spanade omkring sig | random: omkring sig spanade
1.00 | 0.33
ours: spanjoren var stor | random: var spanjoren stor
1.00 | 0.00
ours: speciellt inte manuel | random: speciellt manuel inte
1.00 | 0.00
ours: spelar du match | random: match spelar du
1.00 | 0.33
ours: spottade jag fram | random: jag spottade fram
1.00 | 0.00
ours: sprang hon runt | random: hon sprang runt
1.00 | 0.00
ours: spyflugorna sa ingenting | random: sa ingenting spyflugorna
1.00 | 0.33
ours: stackars gamla mormor | random: mormor stackars gamla
1.00 | 0.33
ours: stackars lille ulric | random: lille stackars ulric
1.00 | 0.00
ours: stackars pastor freij | random: freij pastor stackars
1.00 | 0.00
ours: staffan ler lite | random: lite staffan ler
1.00 | 0.33
ours: staffan ringer igen | random: igen staffan ringer
1.00 | 0.33
ours: staffan skrattar generat | random: staffan skrattar generat
1.00 | 1.00
ours: staffan skrattar tyst | random: staffan tyst skrattar
1.00 | 0.00
ours: staffan svarar jag | random: jag svarar staffan
1.00 | 0.00
ours: stanna bilen morfar | random: bilen morfar stanna
1.00 | 0.33
ours: starten gick bra | random: bra starten gick
1.00 | 0.33
ours: statsminister sedan NUMBER | random: sedan statsminister NUMBER
1.00 | 0.00
ours: statsministern leder regeringen | random: statsministern leder regeringen
1.00 | 1.00
ours: stav alhaji jeng | random: alhaji stav jeng
1.00 | 0.00
ours: stefan log brett | random: stefan brett log
1.00 | 0.00
ours: stefan sa inget | random: inget sa stefan
1.00 | 0.00
ours: stiligt sa klasse | random: stiligt klasse sa
1.00 | 0.00
ours: stoppa tiden domarn | random: domarn tiden stoppa
1.00 | 0.00
ours: stormar sa anne | random: stormar anne sa
1.00 | 0.00
ours: strejken var olaglig | random: strejken olaglig var
1.00 | 0.00
ours: struntprat sa pappa | random: struntprat sa pappa
1.00 | 1.00
ours: svara inte pojkar | random: pojkar svara inte
1.00 | 0.33
ours: svarar den andra | random: andra den svarar
