ours: NUMBER joel hej | random: NUMBER joel hej
1.00 | 0.00
ours: med dubbla slag | random: slag med dubbla
1.00 | 0.33
ours: med en sten | random: en sten med
1.00 | 0.33
ours: troligen med kniv | random: med troligen kniv
0.33 | 0.00
ours: uppdragna med ben | random: med ben uppdragna
0.00 | 0.00
ours: trombolys heter medicinen | random: heter medicinen trombolys
0.00 | 0.00
ours: det kvittar mej | random: kvittar mej det
0.00 | 0.00
ours: ler anton men | random: anton men ler
0.00 | 0.00
ours: men bakom den | random: den men bakom
1.00 | 0.33
ours: men bara ett | random: ett bara men
1.00 | 0.00
ours: fortsatte bultandet men | random: men fortsatte bultandet
0.00 | 0.00
ours: men de finns | random: men de finns
1.00 | 1.00
ours: men den fastnade | random: fastnade men den
1.00 | 0.33
ours: men den tredje | random: den tredje men
1.00 | 0.33
ours: men det gick | random: gick men det
1.00 | 0.33
ours: men det misslyckades | random: misslyckades det men
1.00 | 0.00
ours: men farfar skrattade | random: farfar men skrattade
1.00 | 0.00
ours: men hade otur | random: men hade otur
1.00 | 1.00
ours: men hon ler | random: men hon ler
1.00 | 1.00
ours: men hon log | random: hon log men
1.00 | 0.33
ours: men ingen ingen | random: men ingen ingen
1.00 | 1.00
ours: men ingen risk | random: ingen men risk
1.00 | 0.00
ours: men inget svar | random: inget svar men
1.00 | 0.33
ours: men inte alla | random: inte alla men
1.00 | 0.33
ours: men inte felix | random: men felix inte
1.00 | 0.00
ours: men inte landslagets | random: landslagets men inte
1.00 | 0.33
ours: men inte riktigt | random: inte riktigt men
1.00 | 0.33
ours: men inte svensken | random: men inte svensken
1.00 | 1.00
ours: men inte vi | random: inte men vi
1.00 | 0.00
ours: men bara lugn | random: men lugn bara
0.00 | 1.00
ours: men mest du | random: men du mest
1.00 | 0.00
ours: trivdes myran men | random: men trivdes myran
0.00 | 0.00
ours: vet nathalie men | random: vet men nathalie
0.00 | 0.33
ours: men om mormor | random: mormor men om
1.00 | 0.33
ours: men jonathan protesterar | random: jonathan protesterar men
0.00 | 0.00
ours: men sa ditte | random: sa ditte men
1.00 | 0.33
ours: men nu se | random: nu men se
0.00 | 0.33
ours: men spelar roll | random: men roll spelar
1.00 | 0.00
ours: men vi pratade | random: vi men pratade
1.00 | 0.00
ours: men ni vill | random: men vill ni
0.00 | 1.00
ours: du menar allvar | random: menar du allvar
0.00 | 1.00
ours: du menar det | random: du det menar
0.00 | 0.33
ours: menar du mig | random: menar du mig
1.00 | 1.00
ours: metoden kallas rnai | random: kallas metoden rnai
1.00 | 0.00
ours: igen missade milo | random: milo missade igen
0.00 | 1.00
ours: milo reser sig | random: milo reser sig
1.00 | 1.00
ours: hem sprang milo | random: sprang hem milo
0.00 | 0.33
ours: milo svarar inte | random: inte svarar milo
1.00 | 0.00
ours: det tog milo | random: tog milo det
0.00 | 0.00
ours: darrade mina ben | random: ben darrade mina
0.33 | 0.33
ours: minns du det | random: minns du det
1.00 | 1.00
ours: minns du ingenting | random: du ingenting minns
1.00 | 0.33
ours: hon bad mirran | random: bad mirran hon
0.00 | 0.00
ours: stel blev mirran | random: mirran blev stel
0.00 | 1.00
ours: tillbaka himlar mirran | random: tillbaka mirran himlar
0.00 | 0.33
ours: lite huttrade mirran | random: huttrade mirran lite
0.00 | 0.00
ours: i mitten mirran | random: i mitten mirran
0.33 | 0.33
ours: vakna lilla mirran | random: vakna lilla mirran
0.00 | 0.00
ours: ivrigt lyssnade mirran | random: mirran lyssnade ivrigt
0.00 | 1.00
ours: mirran och jag | random: jag mirran och
1.00 | 0.33
ours: till ryckte mirran | random: mirran till ryckte
0.00 | 0.00
ours: till ryste mirran | random: till ryste mirran
0.00 | 0.00
ours: han sa mirran | random: sa han mirran
0.00 | 0.33
ours: mirran sa ingenting | random: mirran sa ingenting
1.00 | 1.00
ours: handfallen stod mirran | random: handfallen stod mirran
0.00 | 0.00
ours: mirran svarade inte | random: mirran svarade inte
1.00 | 1.00
ours: upp tittade mirran | random: mirran upp tittade
0.00 | 0.00
ours: spiken du missade | random: du spiken missade
0.00 | 0.33
ours: mitt i klubbhuset | random: mitt klubbhuset i
1.00 | 0.00
ours: mitt i natten | random: natten mitt i
1.00 | 0.33
ours: mitt i skogen | random: i skogen mitt
1.00 | 0.33
ours: mjukt och tyst | random: mjukt och tyst
1.00 | 1.00
ours: hon mumlade mmm | random: hon mmm mumlade
0.00 | 0.33
ours: felix nickade mmm | random: nickade mmm felix
0.00 | 0.00
ours: elias sa mmm | random: sa mmm elias
0.00 | 0.00
ours: felix sa mmm | random: felix sa mmm
0.00 | 0.00
ours: hon sa mmm | random: sa mmm hon
0.00 | 0.00
ours: felix svarade mmm | random: svarade mmm felix
0.00 | 0.00
ours: jag svarar mmm | random: jag mmm svarar
0.00 | 0.33
ours: jag sa mmmm | random: mmmm sa jag
0.00 | 1.00
ours: percy sa mmmm | random: percy mmmm sa
0.00 | 0.33
ours: igen flinade moa | random: moa flinade igen
0.00 | 1.00
ours: till skrattade moa | random: moa till skrattade
0.00 | 0.00
ours: pep till mobilen | random: till mobilen pep
0.33 | 0.33
ours: tokiga och modiga | random: tokiga modiga och
0.00 | 0.33
ours: monica selin kristdemokrat | random: selin monica kristdemokrat
1.00 | 0.00
ours: du vet mormor | random: mormor du vet
0.33 | 1.00
ours: vakna kan mormor | random: vakna kan mormor
0.00 | 0.00
ours: ryckte till mormor | random: ryckte mormor till
0.33 | 0.00
ours: hon sa mormor | random: hon sa mormor
0.00 | 0.00
ours: mormor svarade inte | random: svarade inte mormor
1.00 | 0.33
ours: amerikakoffert gamla mormors | random: amerikakoffert mormors gamla
0.00 | 0.33
ours: gryn lilla mormors | random: gryn lilla mormors
0.00 | 0.00
ours: han sa motordriven | random: motordriven sa han
0.00 | 1.00
ours: motorn har stannat | random: har stannat motorn
1.00 | 0.33
ours: eriks pappa mumlade | random: mumlade pappa eriks
0.33 | 0.00
ours: musiken var slut | random: slut var musiken
1.00 | 0.00
ours: mycket bra gjort | random: gjort mycket bra
1.00 | 0.33
ours: begravning fin mycket | random: fin begravning mycket
0.00 | 0.33
ours: det kallas mydoom | random: kallas det mydoom
0.00 | 0.33
ours: grannar och myndigheter | random: grannar och myndigheter
0.00 | 0.00
ours: stirrade bara myran | random: bara myran stirrade
0.00 | 0.00
ours: allvarligt lyssnade myran | random: myran allvarligt lyssnade
0.00 | 0.00
ours: myran och jag | random: och myran jag
1.00 | 0.00
ours: myran reste sig | random: myran sig reste
1.00 | 0.00
ours: hon skrek myran | random: skrek myran hon
0.00 | 0.00
ours: myran stannade upp | random: upp stannade myran
1.00 | 0.00
ours: myran stod kvar | random: myran stod kvar
1.00 | 1.00
ours: hennes och myrans | random: hennes myrans och
0.00 | 0.33
ours: slaf gammal mysig | random: mysig slaf gammal
0.00 | 0.00
ours: missar jag naturligtvis | random: missar jag naturligtvis
0.33 | 0.33
ours: nej inte absolut | random: inte nej absolut
0.00 | 0.33
ours: nej inte faktiskt | random: nej inte faktiskt
0.00 | 0.00
ours: joakim flinade nej | random: nej flinade joakim
0.00 | 1.00
ours: nej inte alls | random: inte alls nej
1.00 | 0.33
ours: nej inte direkt | random: direkt nej inte
1.00 | 0.33
ours: nej inte riktigt | random: inte nej riktigt
1.00 | 0.00
ours: nej inte speciellt | random: inte nej speciellt
1.00 | 0.00
ours: nej inte naturligtvis | random: nej naturligtvis inte
0.00 | 1.00
ours: ditte sa nej | random: sa nej ditte
0.00 | 0.00
ours: han sa nej | random: nej han sa
0.00 | 0.00
ours: hon sa nej | random: sa hon nej
0.00 | 0.33
ours: jag sa nej | random: jag sa nej
0.00 | 0.00
ours: joakim sa nej | random: sa nej joakim
0.00 | 0.00
ours: pappa sa nej | random: sa pappa nej
0.00 | 0.33
ours: nej jag skrek | random: skrek nej jag
0.00 | 0.00
ours: viktor svarade nej | random: svarade viktor nej
0.00 | 0.33
ours: inez svarar nej | random: nej svarar inez
0.00 | 1.00
ours: alma nej tack | random: tack alma nej
0.33 | 0.33
ours: nej till amerika | random: nej till amerika
1.00 | 1.00
ours: nej till landslaget | random: till landslaget nej
1.00 | 0.33
ours: ja visst nej | random: visst nej ja
0.00 | 0.00
ours: ner till fotbollsplanen | random: till fotbollsplanen ner
1.00 | 0.33
ours: nick svarade inte | random: inte svarade nick
1.00 | 0.00
ours: nickar och ler | random: ler nickar och
1.00 | 0.33
ours: nitton andra skadades | random: nitton skadades andra
1.00 | 0.00
ours: felix sa nix | random: felix sa nix
0.00 | 0.00
ours: myran sa nix | random: myran sa nix
0.00 | 0.00
ours: jalle sa nja | random: jalle sa nja
0.00 | 0.00
ours: nick sa nja | random: sa nja nick
0.00 | 0.00
ours: norge tog bronsmedaljen | random: tog norge bronsmedaljen
1.00 | 0.00
ours: norge tog guldet | random: guldet norge tog
1.00 | 0.33
ours: blinkade han nu | random: nu blinkade han
0.33 | 1.00
ours: nu eller aldrig | random: nu aldrig eller
1.00 | 0.00
ours: jag nu fattar | random: jag nu fattar
0.33 | 0.33
ours: nu vi flyger | random: flyger vi nu
0.00 | 0.33
ours: galopperar vi nu | random: galopperar vi nu
0.33 | 0.33
ours: det kommer nu | random: det kommer nu
0.00 | 0.00
ours: han kommer nu | random: kommer han nu
0.00 | 0.33
ours: lisa kommer nu | random: kommer nu lisa
0.00 | 0.00
ours: jenny ler nu | random: ler nu jenny
0.00 | 0.00
ours: nu slutade larmet | random: larmet nu slutade
1.00 | 0.33
ours: hon slutar nu | random: nu hon slutar
0.00 | 0.00
ours: sover vi nu | random: vi sover nu
0.33 | 0.00
ours: nu spelar vi | random: nu spelar vi
1.00 | 1.00
ours: hon vet nu | random: nu vet hon
0.00 | 1.00
ours: nu jag vet | random: nu jag vet
0.00 | 0.00
ours: jag sa nyss | random: sa nyss jag
0.00 | 0.00
ours: august och karlsson | random: karlsson och august
0.00 | 0.33
ours: och med du | random: med du och
0.00 | 0.00
ours: och en kaffekanna | random: en kaffekanna och
1.00 | 0.33
ours: och en trasa | random: trasa en och
1.00 | 0.00
ours: och ett brev | random: brev och ett
1.00 | 0.33
ours: och ett foto | random: och ett foto
1.00 | 1.00
ours: och ett spett | random: spett ett och
1.00 | 0.00
ours: och ganska elakt | random: ganska elakt och
1.00 | 0.33
ours: var och gissa | random: var och gissa
0.33 | 0.33
ours: blixten och inte | random: inte blixten och
0.33 | 0.33
ours: bron och inuti | random: inuti och bron
0.33 | 0.00
ours: och jag trodde | random: och jag trodde
1.00 | 1.00
ours: och kommer hit | random: kommer och hit
1.00 | 0.00
ours: och kanske lina | random: lina och kanske
0.00 | 0.00
ours: min och fot | random: fot och min
0.00 | 0.33
ours: mormor och gick | random: mormor och gick
0.00 | 0.00
ours: och mycket riktigt | random: mycket och riktigt
1.00 | 0.00
ours: joel och nu | random: och nu joel
0.33 | 1.00
ours: spara och halva | random: spara och halva
0.00 | 0.00
ours: sommar och trevlig | random: trevlig sommar och
0.33 | 0.33
ours: knivskuren blev offret | random: blev knivskuren offret
0.00 | 0.33
ours: oh sole mio | random: mio sole oh
1.00 | 0.00
ours: oskar sa oj | random: sa oj oskar
0.00 | 0.00
ours: felix utbrast oj | random: oj utbrast felix
0.00 | 1.00
ours: jag ringer okej | random: okej jag ringer
0.33 | 1.00
ours: allan sa okej | random: okej sa allan
0.00 | 1.00
ours: hon sa okej | random: okej sa hon
0.00 | 1.00
ours: jag sa okej | random: jag okej sa
0.00 | 0.33
ours: mirran sa okej | random: sa mirran okej
0.00 | 0.33
ours: felix sade okej | random: felix sade okej
0.00 | 0.00
ours: jag viskar okej | random: okej viskar jag
0.00 | 1.00
ours: om du fattar | random: du fattar om
1.00 | 0.33
ours: om du vill | random: vill om du
1.00 | 0.33
ours: om han ringer | random: ringer om han
1.00 | 0.33
ours: om hon ringer | random: hon ringer om
1.00 | 0.33
ours: vill inez om | random: vill om inez
0.00 | 0.33
ours: om kyrkans historia | random: kyrkans historia om
1.00 | 0.33
ours: om vi vill | random: om vill vi
1.00 | 0.00
ours: omkring trettio skadades | random: trettio omkring skadades
1.00 | 0.00
ours: han sa oops | random: han oops sa
0.00 | 0.33
ours: opp till sommarstugan | random: sommarstugan opp till
1.00 | 0.33
ours: sabo heter organisationen | random: sabo heter organisationen
0.00 | 0.00
ours: oroa dej inte | random: dej inte oroa
1.00 | 0.33
ours: upp tittar oscar | random: tittar upp oscar
0.00 | 0.33
ours: inget sa oskar | random: oskar sa inget
0.00 | 1.00
ours: korv eller ost | random: ost eller korv
0.00 | 1.00
ours: fint men ovanligt | random: men fint ovanligt
0.00 | 0.33
ours: pappa blir rasande | random: pappa rasande blir
1.00 | 0.00
ours: av dukade pappa | random: av dukade pappa
0.00 | 0.00
ours: noll fattade pappa | random: noll fattade pappa
0.00 | 0.00
ours: nickat hade pappa | random: pappa nickat hade
0.00 | 0.00
ours: lugnande ler pappa | random: pappa ler lugnande
0.00 | 1.00
ours: pappa pappa sa | random: pappa sa pappa
0.33 | 1.00
ours: efter sprang pappa | random: pappa sprang efter
0.00 | 1.00
ours: bilen stannade pappa | random: bilen stannade pappa
0.00 | 0.00
ours: lite suckar pappa | random: pappa suckar lite
0.00 | 1.00
ours: yrvaken pappa var | random: var pappa yrvaken
0.33 | 0.00
ours: pappa inte visste | random: inte visste pappa
0.00 | 0.00
ours: passningen var perfekt | random: passningen var perfekt
1.00 | 1.00
ours: han dog patron | random: patron han dog
0.33 | 1.00
ours: patron och familjen | random: patron och familjen
1.00 | 1.00
ours: hon skrek patron | random: patron skrek hon
0.00 | 1.00
ours: pengarna tog slut | random: pengarna tog slut
1.00 | 1.00
ours: pepparkakorna blev svarta | random: svarta blev pepparkakorna
1.00 | 0.00
ours: jag sa perfekta | random: sa perfekta jag
0.00 | 0.00
ours: jag sa pia | random: sa pia jag
0.00 | 0.00
ours: mormor sa pjoltmaja | random: mormor sa pjoltmaja
0.00 | 0.00
ours: gungade till planet | random: gungade till planet
0.33 | 0.33
ours: planet hade torkat | random: hade planet torkat
1.00 | 0.00
ours: plask plask plask | random: plask plask plask
1.00 | 1.00
ours: platsen heter clab | random: platsen clab heter
1.00 | 0.00
ours: guldmedaljen tog poewe | random: poewe guldmedaljen tog
0.00 | 0.00
ours: litet log polisen | random: polisen log litet
0.00 | 1.00
ours: ponny och lisa | random: och ponny lisa
1.00 | 0.00
ours: koner ringar potatis | random: ringar koner potatis
0.00 | 0.33
ours: piss och potta | random: piss och potta
0.00 | 0.00
ours: nu inte prata | random: nu prata inte
0.00 | 0.33
ours: ni pratar aldrig | random: aldrig ni pratar
0.00 | 0.00
ours: pratar och pratar | random: pratar pratar och
1.00 | 0.33
ours: vi mumlar precis | random: mumlar precis vi
0.00 | 0.00
ours: precis som jenny | random: som precis jenny
1.00 | 0.00
ours: precis som lillasyster | random: precis lillasyster som
1.00 | 0.00
ours: precis som majsans | random: majsans som precis
1.00 | 0.00
ours: precis som mormor | random: mormor precis som
1.00 | 0.33
ours: precis som tim | random: som tim precis
1.00 | 0.33
ours: precis som vi | random: som precis vi
1.00 | 0.00
ours: protesterna har tystnat | random: tystnat protesterna har
1.00 | 0.33
ours: slut och punkt | random: slut punkt och
0.00 | 0.33
ours: puss och kram | random: och puss kram
1.00 | 0.00
ours: alva viskar pussas | random: alva viskar pussas
0.00 | 0.00
ours: genast minns raddi | random: genast minns raddi
0.00 | 0.00
ours: melody och raja | random: och melody raja
0.00 | 0.33
ours: tystnaden bryter rasmus | random: rasmus tystnaden bryter
0.00 | 0.00
ours: rasten var slut | random: rasten slut var
1.00 | 0.00
ours: regeringen gjorde planen | random: planen regeringen gjorde
1.00 | 0.33
ours: rektorn blev skadad | random: skadad blev rektorn
1.00 | 0.00
ours: resultatet var ynkligt | random: resultatet ynkligt var
1.00 | 0.00
ours: retades med henne | random: henne retades med
1.00 | 0.33
ours: surt nickade ricke | random: surt ricke nickade
0.00 | 0.33
ours: barbacka du rider | random: barbacka du rider
0.00 | 0.00
ours: arg och rolig | random: och rolig arg
0.00 | 0.00
ours: tillbaka ditte ropade | random: ditte ropade tillbaka
0.00 | 0.00
ours: han ropade glatt | random: han ropade glatt
0.00 | 0.00
ours: han ropade tillbaka | random: tillbaka ropade han
0.00 | 0.33
ours: ropade jag igen | random: ropade jag igen
1.00 | 1.00
ours: pappa tomas ropade | random: ropade tomas pappa
0.00 | 1.00
ours: igen alva ropar | random: ropar igen alva
0.00 | 0.00
ours: ilsket birgit ropar | random: ilsket ropar birgit
0.00 | 0.33
ours: tillbaka emil ropar | random: ropar emil tillbaka
0.00 | 1.00
ours: ropar en tjej | random: tjej ropar en
1.00 | 0.33
ours: ropar han igen | random: han ropar igen
1.00 | 0.00
ours: han ropar stolt | random: ropar han stolt
0.00 | 1.00
ours: han till ropar | random: till han ropar
0.33 | 0.00
ours: ropar han tillbaka | random: tillbaka ropar han
1.00 | 0.33
ours: klassen hela ropar | random: ropar hela klassen
0.00 | 1.00
ours: sedan hon ropar | random: sedan ropar hon
0.00 | 0.33
ours: hon ropar triumferande | random: ropar hon triumferande
0.00 | 1.00
ours: lyckligt jag ropar | random: lyckligt ropar jag
0.00 | 0.33
ours: tillbaka jag ropar | random: ropar tillbaka jag
0.00 | 0.00
ours: tillbaka jonathan ropar | random: ropar jonathan tillbaka
0.00 | 1.00
ours: tillbaka maja ropar | random: tillbaka maja ropar
0.00 | 0.00
ours: triumferande maja ropar | random: maja ropar triumferande
0.00 | 0.00
ours: ivrigt majsan ropar | random: ropar ivrigt majsan
0.00 | 0.00
ours: morfar majsans ropar | random: majsans morfar ropar
0.00 | 0.33
ours: ebba och rut | random: och ebba rut
0.00 | 0.33
ours: tussen i rycker | random: tussen rycker i
0.00 | 0.33
ours: ryssland vann damstafetten | random: ryssland vann damstafetten
1.00 | 1.00
ours: rask arvid sa | random: rask sa arvid
0.00 | 0.33
ours: glatt erik sa | random: sa glatt erik
0.00 | 0.00
ours: ironiskt erik sa | random: sa erik ironiskt
0.00 | 1.00
ours: irriterat erik sa | random: sa irriterat erik
0.00 | 0.00
ours: ivrigt erik sa | random: ivrigt sa erik
0.00 | 0.33
ours: oroligt erik sa | random: sa erik oroligt
0.00 | 1.00
ours: surt sa erik | random: erik surt sa
0.33 | 0.33
ours: mamma sa eriks | random: sa eriks mamma
0.33 | 1.00
ours: molnet glada sa | random: molnet sa glada
0.00 | 0.33
ours: han sa glatt | random: glatt sa han
0.00 | 0.33
ours: sa han igen | random: han sa igen
1.00 | 0.00
ours: han sa ilsket | random: sa ilsket han
0.00 | 0.00
ours: han sa imponerat | random: sa imponerat han
0.00 | 0.00
ours: sedan sa han | random: han sa sedan
0.33 | 0.00
ours: han sa stolt | random: han stolt sa
0.00 | 0.33
ours: surt sa han | random: han surt sa
0.33 | 0.33
ours: han sa tyst | random: han sa tyst
0.00 | 0.00
ours: han sa vi | random: han sa vi
0.00 | 0.00
ours: han sa yrvaket | random: yrvaket sa han
0.00 | 0.33
ours: hon sa bara | random: hon bara sa
0.00 | 0.33
ours: hon sa liten | random: liten sa hon
0.00 | 0.33
ours: sedan sa hon | random: sedan hon sa
0.33 | 0.00
ours: surt sa hon | random: hon surt sa
0.33 | 0.33
ours: hon sa tyst | random: sa tyst hon
0.00 | 0.00
ours: surt sa jag | random: jag surt sa
0.33 | 0.33
ours: min bror sa | random: bror sa min
0.33 | 0.33
ours: ivrigt pappa sa | random: sa ivrigt pappa
0.00 | 0.00
ours: glatt sara sa | random: sara sa glatt
0.00 | 0.00
ours: pappa tomas sa | random: tomas sa pappa
0.00 | 0.00
ours: sa e uffe | random: e uffe sa
0.00 | 0.00
ours: rickberg uffe sa | random: sa uffe rickberg
0.00 | 1.00
ours: inte funkar saaben | random: funkar saaben inte
0.00 | 0.00
ours: percy sa sablar | random: sa sablar percy
0.00 | 0.00
ours: sagt och gjort | random: gjort och sagt
1.00 | 0.00
ours: henne du saknar | random: du saknar henne
0.00 | 0.00
ours: han saknar mig | random: han saknar mig
0.00 | 0.00
ours: samla ihop tyglarna | random: ihop tyglarna samla
1.00 | 0.33
ours: dass dumma samma | random: dass samma dumma
0.00 | 0.33
ours: samma gamla dass | random: gamla samma dass
1.00 | 0.00
ours: samma gamla hus | random: samma hus gamla
1.00 | 0.00
ours: samma som jag | random: jag som samma
1.00 | 0.00
ours: fors trista samma | random: fors trista samma
0.00 | 0.00
ours: sedan NUMBER samordningsminister | random: samordningsminister NUMBER sedan
0.33 | 0.00
ours: inget sa samra | random: sa samra inget
0.00 | 0.00
ours: samra svarade inte | random: samra inte svarade
1.00 | 0.00
ours: inget sa sara | random: sa inget sara
0.00 | 0.33
ours: sara var sjuk | random: sjuk var sara
1.00 | 0.00
ours: satte ner sig | random: sig satte ner
0.00 | 0.00
ours: sedan ett till | random: sedan till ett
1.00 | 0.00
ours: sedan han fattade | random: han fattade sedan
0.00 | 0.00
ours: sedan han flinade | random: flinade sedan han
0.00 | 0.00
ours: sedan har vi | random: vi sedan har
1.00 | 0.33
ours: sedan kom klasse | random: klasse kom sedan
1.00 | 0.00
ours: sedan kommer jag | random: sedan kommer jag
1.00 | 1.00
ours: sedan kommer maja | random: sedan maja kommer
1.00 | 0.00
ours: sedan med joel | random: sedan med joel
1.00 | 1.00
ours: sedan hon minns | random: hon minns sedan
0.00 | 0.00
ours: sedan han nickade | random: han sedan nickade
0.00 | 0.33
ours: mat serverades sedan | random: serverades mat sedan
0.00 | 0.33
ours: sedan han somnade | random: somnade sedan han
0.00 | 0.00
ours: sedan hon somnade | random: hon sedan somnade
0.00 | 0.33
ours: sedan den stannade | random: den sedan stannade
0.00 | 0.33
ours: sedan jag stortjuter | random: stortjuter sedan jag
0.00 | 0.00
ours: sen han flyr | random: flyr sen han
0.00 | 0.00
ours: sen kom anton | random: anton kom sen
1.00 | 0.00
ours: sen hon ser | random: ser sen hon
0.00 | 0.00
ours: sen skrattar hon | random: sen hon skrattar
1.00 | 0.00
ours: sen de somnar | random: sen somnar de
0.00 | 1.00
ours: pojken dog senare | random: senare pojken dog
0.00 | 0.00
ours: lyda brukar sepp | random: sepp lyda brukar
0.00 | 0.00
ours: ser du inte | random: ser du inte
1.00 | 1.00
ours: ser du kyrktornet | random: ser du kyrktornet
1.00 | 1.00
ours: ser du nu | random: ser du nu
1.00 | 1.00
ours: ser du svarten | random: du svarten ser
1.00 | 0.33
ours: vi ses igen | random: igen vi ses
0.00 | 0.00
ours: sex personer dog | random: sex dog personer
1.00 | 0.00
ours: sida vid sida | random: sida vid sida
1.00 | 1.00
ours: simon och jag | random: och simon jag
1.00 | 0.00
ours: hit kom sistan | random: kom hit sistan
0.00 | 0.33
ours: pappa sa sju | random: sa pappa sju
0.00 | 0.33
ours: prrs heter sjukdomen | random: sjukdomen heter prrs
0.00 | 1.00
ours: du ska dit | random: du dit ska
0.00 | 0.33
ours: du ska resa | random: du resa ska
0.00 | 0.33
ours: du ska studera | random: studera du ska
0.00 | 0.00
ours: du ska ut | random: du ska ut
0.00 | 0.00
ours: hemma ska vara | random: ska hemma vara
0.33 | 0.00
ours: vi ska bada | random: ska vi bada
0.00 | 1.00
ours: ska vi dansa | random: ska vi dansa
1.00 | 1.00
ours: vi ska sadla | random: sadla vi ska
0.00 | 0.00
ours: vi ska sova | random: sova ska vi
0.00 | 0.33
ours: vi ska sticka | random: ska vi sticka
0.00 | 1.00
ours: vi ska trava | random: vi ska trava
0.00 | 0.00
ours: skit i henne | random: henne skit i
1.00 | 0.33
ours: skit i honom | random: i honom skit
1.00 | 0.33
ours: jonathan svarade skitsnack | random: skitsnack svarade jonathan
0.00 | 1.00
ours: tobias muttrade skralt | random: tobias skralt muttrade
0.00 | 0.33
ours: hugo galne skrek | random: galne hugo skrek
0.00 | 0.33
ours: andra de skriker | random: de skriker andra
0.00 | 0.00
ours: ilsket jag skriker | random: jag ilsket skriker
0.00 | 0.33
ours: en lista skriv | random: lista skriv en
0.33 | 0.33
ours: skriva ett brev | random: ett brev skriva
1.00 | 0.33
ours: cykelsparkade och skruvade | random: cykelsparkade skruvade och
0.00 | 0.33
ours: jag skulle brumma | random: jag brumma skulle
0.00 | 0.33
ours: jag skulle svara | random: svara jag skulle
0.00 | 0.00
ours: eskil mamma skulle | random: skulle mamma eskil
0.00 | 1.00
ours: mamma skynda dig | random: dig mamma skynda
0.33 | 0.33
ours: mormor skynda dig | random: mormor dig skynda
0.33 | 0.00
ours: skynda dig nu | random: dig nu skynda
1.00 | 0.33
ours: tess skynda dig | random: tess dig skynda
0.33 | 0.00
ours: tess slappna av | random: av slappna tess
0.33 | 0.00
ours: du dig slog | random: slog du dig
0.33 | 1.00
ours: mamma nu sluta | random: sluta mamma nu
0.00 | 0.00
ours: pappa nu sluta | random: pappa sluta nu
0.00 | 0.33
ours: det smakar bra | random: smakar det bra
0.00 | 1.00
ours: snabba dig nu | random: nu snabba dig
1.00 | 0.33
ours: snackar och snackar | random: och snackar snackar
1.00 | 0.33
ours: han viskade snart | random: snart han viskade
0.00 | 0.00
ours: sniglar och maskar | random: och maskar sniglar
1.00 | 0.33
ours: fix sven snyftade | random: sven snyftade fix
0.00 | 0.00
ours: han sa snyggt | random: han snyggt sa
0.00 | 0.33
ours: sedan NUMBER socialminister | random: socialminister NUMBER sedan
0.33 | 0.00
ours: socialsekreteraren har tystnadsplikt | random: tystnadsplikt socialsekreteraren har
1.00 | 0.33
ours: solen gick ner | random: ner solen gick
1.00 | 0.33
ours: som en blomsterkrans | random: som en blomsterkrans
1.00 | 1.00
ours: som en inbrottstjuv | random: en som inbrottstjuv
1.00 | 0.00
ours: som i dag | random: som dag i
1.00 | 0.00
ours: som tur var | random: tur som var
1.00 | 0.00
ours: skatten som vaktade | random: som skatten vaktade
0.33 | 0.00
ours: du vet sommarstugorna | random: sommarstugorna vet du
0.33 | 0.00
ours: han muttrade soon | random: muttrade soon han
0.00 | 0.00
ours: han sa sorry | random: han sa sorry
0.00 | 0.00
ours: spanade omkring sig | random: spanade omkring sig
1.00 | 1.00
ours: spanjoren var stor | random: spanjoren stor var
1.00 | 0.00
ours: speciellt inte manuel | random: speciellt manuel inte
1.00 | 0.00
ours: du spelar match | random: du match spelar
0.00 | 0.33
ours: spottade jag fram | random: spottade jag fram
1.00 | 1.00
ours: hon sprang runt | random: runt hon sprang
0.00 | 0.00
ours: spyflugorna sa ingenting | random: spyflugorna sa ingenting
1.00 | 1.00
ours: stackars gamla mormor | random: mormor stackars gamla
1.00 | 0.33
ours: ulric lille stackars | random: ulric lille stackars
0.00 | 0.00
ours: freij pastor stackars | random: pastor stackars freij
0.00 | 0.00
ours: lite ler staffan | random: staffan ler lite
0.00 | 1.00
ours: staffan ringer igen | random: ringer staffan igen
1.00 | 0.00
ours: generat skrattar staffan | random: staffan generat skrattar
0.00 | 0.00
ours: tyst skrattar staffan | random: staffan tyst skrattar
0.00 | 0.00
ours: jag svarar staffan | random: svarar staffan jag
0.00 | 0.00
ours: morfar bilen stanna | random: stanna morfar bilen
0.00 | 0.00
ours: starten gick bra | random: bra gick starten
1.00 | 0.00
ours: sedan NUMBER statsminister | random: NUMBER sedan statsminister
0.33 | 0.00
ours: statsministern leder regeringen | random: regeringen leder statsministern
1.00 | 0.00
ours: alhaji jeng stav | random: stav alhaji jeng
0.33 | 1.00
ours: brett log stefan | random: brett log stefan
0.00 | 0.00
ours: inget sa stefan | random: inget sa stefan
0.00 | 0.00
ours: klasse sa stiligt | random: klasse stiligt sa
0.00 | 0.33
ours: domarn tiden stoppa | random: domarn tiden stoppa
0.00 | 0.00
ours: anne sa stormar | random: stormar anne sa
0.00 | 0.00
ours: strejken var olaglig | random: strejken var olaglig
1.00 | 1.00
ours: pappa sa struntprat | random: struntprat sa pappa
0.00 | 1.00
ours: pojkar inte svara | random: inte svara pojkar
0.00 | 0.00
ours: den andra svarar | random: svarar den andra
