ours: NUMBER joel hej | random: hej joel NUMBER
1.00 | 0.33
ours: med dubbla slag | random: dubbla slag med
1.00 | 0.33
ours: med en sten | random: med sten en
1.00 | 0.00
ours: troligen med kniv | random: med troligen kniv
0.33 | 0.00
ours: uppdragna med ben | random: med ben uppdragna
0.00 | 0.00
ours: trombolys heter medicinen | random: trombolys heter medicinen
0.00 | 0.00
ours: det kvittar mej | random: det kvittar mej
0.00 | 0.00
ours: ler anton men | random: men anton ler
0.00 | 1.00
ours: men bakom den | random: den men bakom
1.00 | 0.33
ours: men bara ett | random: ett men bara
1.00 | 0.33
ours: men fortsatte bultandet | random: men bultandet fortsatte
0.00 | 1.00
ours: men de finns | random: men de finns
1.00 | 1.00
ours: men den fastnade | random: men fastnade den
1.00 | 0.00
ours: men den tredje | random: den men tredje
1.00 | 0.00
ours: men det gick | random: gick men det
1.00 | 0.33
ours: men det misslyckades | random: misslyckades men det
1.00 | 0.33
ours: skrattade farfar men | random: farfar men skrattade
0.00 | 0.00
ours: men hade otur | random: hade otur men
1.00 | 0.33
ours: men hon ler | random: ler men hon
1.00 | 0.33
ours: men hon log | random: hon men log
1.00 | 0.00
ours: men ingen ingen | random: men ingen ingen
1.00 | 1.00
ours: men ingen risk | random: risk ingen men
1.00 | 0.00
ours: men inget svar | random: inget men svar
1.00 | 0.00
ours: men inte alla | random: men alla inte
1.00 | 0.00
ours: men inte felix | random: inte men felix
1.00 | 0.00
ours: men inte landslagets | random: inte landslagets men
1.00 | 0.33
ours: men inte riktigt | random: riktigt inte men
1.00 | 0.00
ours: men inte svensken | random: inte men svensken
1.00 | 0.00
ours: men inte vi | random: inte vi men
1.00 | 0.33
ours: men bara lugn | random: lugn men bara
0.00 | 0.00
ours: men du mest | random: men mest du
0.00 | 1.00
ours: trivdes myran men | random: myran men trivdes
0.00 | 0.00
ours: men vet nathalie | random: vet nathalie men
0.00 | 0.00
ours: men om mormor | random: mormor om men
1.00 | 0.00
ours: men jonathan protesterar | random: men jonathan protesterar
0.00 | 0.00
ours: men sa ditte | random: sa ditte men
1.00 | 0.33
ours: men se nu | random: nu men se
1.00 | 0.33
ours: men spelar roll | random: spelar roll men
1.00 | 0.33
ours: men vi pratade | random: vi pratade men
1.00 | 0.33
ours: men vill ni | random: men vill ni
1.00 | 1.00
ours: du menar allvar | random: allvar menar du
0.00 | 0.33
ours: det menar du | random: du det menar
0.33 | 0.33
ours: du menar mig | random: du menar mig
0.00 | 0.00
ours: metoden kallas rnai | random: kallas rnai metoden
1.00 | 0.33
ours: igen missade milo | random: missade igen milo
0.00 | 0.33
ours: reser sig milo | random: milo reser sig
0.33 | 1.00
ours: hem sprang milo | random: hem sprang milo
0.00 | 0.00
ours: milo svarar inte | random: inte milo svarar
1.00 | 0.33
ours: det tog milo | random: milo tog det
0.00 | 1.00
ours: darrade mina ben | random: ben darrade mina
0.33 | 0.33
ours: minns du det | random: det minns du
1.00 | 0.33
ours: minns du ingenting | random: ingenting minns du
1.00 | 0.33
ours: hon bad mirran | random: bad hon mirran
0.00 | 0.33
ours: stel blev mirran | random: mirran blev stel
0.00 | 1.00
ours: tillbaka himlar mirran | random: himlar tillbaka mirran
0.00 | 0.33
ours: lite huttrade mirran | random: lite huttrade mirran
0.00 | 0.00
ours: i mitten mirran | random: mirran mitten i
0.33 | 0.00
ours: vakna lilla mirran | random: vakna mirran lilla
0.00 | 0.33
ours: ivrigt lyssnade mirran | random: lyssnade mirran ivrigt
0.00 | 0.00
ours: och jag mirran | random: jag mirran och
0.33 | 0.33
ours: mirran ryckte till | random: mirran ryckte till
1.00 | 1.00
ours: till ryste mirran | random: till mirran ryste
0.00 | 0.33
ours: mirran sa han | random: sa mirran han
1.00 | 0.00
ours: mirran sa ingenting | random: ingenting mirran sa
1.00 | 0.33
ours: handfallen stod mirran | random: handfallen stod mirran
0.00 | 0.00
ours: mirran svarade inte | random: svarade inte mirran
1.00 | 0.33
ours: upp tittade mirran | random: tittade mirran upp
0.00 | 0.00
ours: missade du spiken | random: missade du spiken
1.00 | 1.00
ours: mitt i klubbhuset | random: i mitt klubbhuset
1.00 | 0.00
ours: mitt i natten | random: natten i mitt
1.00 | 0.00
ours: mitt i skogen | random: i mitt skogen
1.00 | 0.00
ours: mjukt och tyst | random: tyst och mjukt
1.00 | 0.00
ours: hon mumlade mmm | random: mmm mumlade hon
0.00 | 1.00
ours: felix nickade mmm | random: nickade mmm felix
0.00 | 0.00
ours: elias sa mmm | random: elias sa mmm
0.00 | 0.00
ours: felix sa mmm | random: mmm sa felix
0.00 | 1.00
ours: mmm sa hon | random: mmm hon sa
1.00 | 0.00
ours: felix svarade mmm | random: mmm svarade felix
0.00 | 1.00
ours: jag svarar mmm | random: mmm jag svarar
0.00 | 0.00
ours: jag sa mmmm | random: mmmm sa jag
0.00 | 1.00
ours: percy sa mmmm | random: sa mmmm percy
0.00 | 0.00
ours: igen flinade moa | random: flinade igen moa
0.00 | 0.33
ours: skrattade till moa | random: till moa skrattade
0.33 | 0.33
ours: pep till mobilen | random: till mobilen pep
0.33 | 0.33
ours: tokiga och modiga | random: tokiga och modiga
0.00 | 0.00
ours: monica selin kristdemokrat | random: monica kristdemokrat selin
1.00 | 0.00
ours: vet du mormor | random: mormor vet du
0.00 | 0.00
ours: kan vakna mormor | random: kan mormor vakna
0.33 | 0.00
ours: mormor ryckte till | random: mormor ryckte till
1.00 | 1.00
ours: mormor sa hon | random: mormor sa hon
1.00 | 1.00
ours: mormor svarade inte | random: inte mormor svarade
1.00 | 0.33
ours: amerikakoffert gamla mormors | random: amerikakoffert mormors gamla
0.00 | 0.33
ours: gryn lilla mormors | random: lilla gryn mormors
0.00 | 0.33
ours: motordriven sa han | random: motordriven sa han
1.00 | 1.00
ours: motorn har stannat | random: stannat motorn har
1.00 | 0.33
ours: pappa eriks mumlade | random: eriks mumlade pappa
0.00 | 0.00
ours: musiken var slut | random: musiken var slut
1.00 | 1.00
ours: mycket bra gjort | random: gjort bra mycket
1.00 | 0.00
ours: begravning mycket fin | random: begravning mycket fin
0.33 | 0.33
ours: det kallas mydoom | random: det mydoom kallas
0.00 | 0.33
ours: grannar och myndigheter | random: myndigheter och grannar
0.00 | 1.00
ours: stirrade bara myran | random: bara stirrade myran
0.00 | 0.33
ours: allvarligt lyssnade myran | random: allvarligt lyssnade myran
0.00 | 0.00
ours: och jag myran | random: och jag myran
0.33 | 0.33
ours: myran reste sig | random: myran reste sig
1.00 | 1.00
ours: hon skrek myran | random: hon myran skrek
0.00 | 0.33
ours: myran stannade upp | random: stannade upp myran
1.00 | 0.33
ours: kvar stod myran | random: kvar stod myran
0.00 | 0.00
ours: och hennes myrans | random: myrans och hennes
0.33 | 1.00
ours: slaf gammal mysig | random: mysig gammal slaf
0.00 | 1.00
ours: jag missar naturligtvis | random: naturligtvis jag missar
0.00 | 0.00
ours: nej absolut inte | random: inte absolut nej
1.00 | 0.00
ours: nej faktiskt inte | random: inte nej faktiskt
1.00 | 0.33
ours: joakim flinade nej | random: nej joakim flinade
0.00 | 0.00
ours: nej inte alls | random: inte nej alls
1.00 | 0.00
ours: nej inte direkt | random: nej inte direkt
1.00 | 1.00
ours: nej inte riktigt | random: riktigt inte nej
1.00 | 0.00
ours: nej inte speciellt | random: nej inte speciellt
1.00 | 1.00
ours: nej naturligtvis inte | random: naturligtvis inte nej
1.00 | 0.33
ours: ditte sa nej | random: nej ditte sa
0.00 | 0.00
ours: han sa nej | random: sa nej han
0.00 | 0.00
ours: nej sa hon | random: hon nej sa
1.00 | 0.33
ours: jag sa nej | random: sa jag nej
0.00 | 0.33
ours: joakim sa nej | random: joakim sa nej
0.00 | 0.00
ours: sa pappa nej | random: pappa sa nej
0.33 | 0.00
ours: nej skrek jag | random: skrek jag nej
1.00 | 0.33
ours: viktor svarade nej | random: svarade viktor nej
0.00 | 0.33
ours: nej svarar inez | random: svarar inez nej
1.00 | 0.33
ours: alma nej tack | random: nej alma tack
0.33 | 0.00
ours: nej till amerika | random: till amerika nej
1.00 | 0.33
ours: nej till landslaget | random: landslaget nej till
1.00 | 0.33
ours: visst ja nej | random: visst ja nej
0.33 | 0.33
ours: ner till fotbollsplanen | random: ner fotbollsplanen till
1.00 | 0.00
ours: nick svarade inte | random: inte svarade nick
1.00 | 0.00
ours: nickar och ler | random: nickar och ler
1.00 | 1.00
ours: nitton andra skadades | random: andra skadades nitton
1.00 | 0.33
ours: felix sa nix | random: nix sa felix
0.00 | 1.00
ours: myran sa nix | random: myran sa nix
0.00 | 0.00
ours: jalle sa nja | random: nja jalle sa
0.00 | 0.00
ours: nick sa nja | random: nja sa nick
0.00 | 1.00
ours: norge tog bronsmedaljen | random: bronsmedaljen tog norge
1.00 | 0.00
ours: norge tog guldet | random: norge guldet tog
1.00 | 0.00
ours: blinkade han nu | random: han nu blinkade
0.33 | 0.33
ours: nu eller aldrig | random: nu eller aldrig
1.00 | 1.00
ours: nu fattar jag | random: jag nu fattar
1.00 | 0.33
ours: flyger vi nu | random: nu flyger vi
0.33 | 1.00
ours: galopperar vi nu | random: vi nu galopperar
0.33 | 0.33
ours: det kommer nu | random: kommer nu det
0.00 | 0.00
ours: nu kommer han | random: nu kommer han
1.00 | 1.00
ours: nu kommer lisa | random: nu lisa kommer
1.00 | 0.00
ours: jenny ler nu | random: ler jenny nu
0.00 | 0.33
ours: larmet slutade nu | random: slutade nu larmet
0.00 | 0.00
ours: nu slutar hon | random: nu slutar hon
1.00 | 1.00
ours: sover vi nu | random: sover vi nu
0.33 | 0.33
ours: nu spelar vi | random: vi spelar nu
1.00 | 0.00
ours: nu vet hon | random: nu hon vet
1.00 | 0.00
ours: nu vet jag | random: jag nu vet
1.00 | 0.33
ours: jag sa nyss | random: jag sa nyss
0.00 | 0.00
ours: august och karlsson | random: august och karlsson
0.00 | 0.00
ours: och med du | random: och du med
0.00 | 1.00
ours: och en kaffekanna | random: kaffekanna en och
1.00 | 0.00
ours: och en trasa | random: och en trasa
1.00 | 1.00
ours: och ett brev | random: brev och ett
1.00 | 0.33
ours: och ett foto | random: ett och foto
1.00 | 0.00
ours: och ett spett | random: ett och spett
1.00 | 0.00
ours: och ganska elakt | random: ganska elakt och
1.00 | 0.33
ours: var och gissa | random: gissa var och
0.33 | 0.33
ours: och inte blixten | random: inte och blixten
1.00 | 0.00
ours: bron inuti och | random: bron inuti och
0.00 | 0.00
ours: och jag trodde | random: trodde och jag
1.00 | 0.33
ours: och kommer hit | random: hit och kommer
1.00 | 0.33
ours: och kanske lina | random: och kanske lina
0.00 | 0.00
ours: och min fot | random: och fot min
1.00 | 0.00
ours: gick och mormor | random: och mormor gick
0.33 | 1.00
ours: och mycket riktigt | random: riktigt och mycket
1.00 | 0.33
ours: joel och nu | random: och joel nu
0.33 | 0.00
ours: halva och spara | random: halva och spara
0.33 | 0.33
ours: sommar och trevlig | random: och trevlig sommar
0.33 | 1.00
ours: offret blev knivskuren | random: blev offret knivskuren
1.00 | 0.00
ours: oh sole mio | random: mio sole oh
1.00 | 0.00
ours: oskar sa oj | random: oj sa oskar
0.00 | 1.00
ours: felix utbrast oj | random: utbrast felix oj
0.00 | 0.33
ours: jag ringer okej | random: ringer jag okej
0.33 | 0.00
ours: okej sa allan | random: allan sa okej
1.00 | 0.00
ours: okej sa hon | random: sa okej hon
1.00 | 0.00
ours: okej sa jag | random: jag sa okej
1.00 | 0.00
ours: okej sa mirran | random: sa mirran okej
1.00 | 0.33
ours: okej sade felix | random: sade okej felix
1.00 | 0.00
ours: okej jag viskar | random: viskar okej jag
0.00 | 0.00
ours: fattar du om | random: du fattar om
0.00 | 0.33
ours: om du vill | random: om vill du
1.00 | 0.00
ours: om han ringer | random: ringer han om
1.00 | 0.00
ours: om hon ringer | random: ringer hon om
1.00 | 0.00
ours: inez vill om | random: vill om inez
0.33 | 0.33
ours: historia om kyrkans | random: historia om kyrkans
0.33 | 0.33
ours: om vi vill | random: om vi vill
1.00 | 1.00
ours: skadades trettio omkring | random: skadades trettio omkring
0.00 | 0.00
ours: oops sa han | random: sa oops han
1.00 | 0.00
ours: opp till sommarstugan | random: sommarstugan opp till
1.00 | 0.33
ours: sabo heter organisationen | random: sabo heter organisationen
0.00 | 0.00
ours: oroa dej inte | random: oroa inte dej
1.00 | 0.00
ours: tittar upp oscar | random: tittar oscar upp
0.33 | 0.00
ours: oskar sa inget | random: inget oskar sa
1.00 | 0.33
ours: ost eller korv | random: ost korv eller
1.00 | 0.00
ours: fint men ovanligt | random: ovanligt men fint
0.00 | 1.00
ours: rasande blir pappa | random: rasande blir pappa
0.00 | 0.00
ours: dukade av pappa | random: dukade pappa av
0.33 | 0.00
ours: noll fattade pappa | random: noll fattade pappa
0.00 | 0.00
ours: pappa hade nickat | random: pappa hade nickat
1.00 | 1.00
ours: lugnande ler pappa | random: lugnande pappa ler
0.00 | 0.33
ours: pappa sa pappa | random: pappa pappa sa
1.00 | 0.33
ours: pappa sprang efter | random: sprang efter pappa
1.00 | 0.33
ours: bilen stannade pappa | random: pappa bilen stannade
0.00 | 0.00
ours: pappa suckar lite | random: lite pappa suckar
1.00 | 0.33
ours: pappa var yrvaken | random: var yrvaken pappa
1.00 | 0.33
ours: visste inte pappa | random: pappa visste inte
0.33 | 1.00
ours: passningen var perfekt | random: var passningen perfekt
1.00 | 0.00
ours: han dog patron | random: han dog patron
0.33 | 0.33
ours: patron och familjen | random: och patron familjen
1.00 | 0.00
ours: hon skrek patron | random: skrek patron hon
0.00 | 0.00
ours: pengarna tog slut | random: tog pengarna slut
1.00 | 0.00
ours: svarta blev pepparkakorna | random: svarta pepparkakorna blev
0.00 | 0.33
ours: jag sa perfekta | random: perfekta sa jag
0.00 | 1.00
ours: jag sa pia | random: pia jag sa
0.00 | 0.00
ours: mormor sa pjoltmaja | random: sa pjoltmaja mormor
0.00 | 0.00
ours: gungade till planet | random: till planet gungade
0.33 | 0.33
ours: planet hade torkat | random: planet hade torkat
1.00 | 1.00
ours: plask plask plask | random: plask plask plask
1.00 | 1.00
ours: clab heter platsen | random: heter clab platsen
0.00 | 0.33
ours: guldmedaljen tog poewe | random: guldmedaljen poewe tog
0.00 | 0.33
ours: litet log polisen | random: litet polisen log
0.00 | 0.33
ours: lisa och ponny | random: ponny lisa och
0.00 | 0.00
ours: koner ringar potatis | random: koner potatis ringar
0.00 | 0.33
ours: piss och potta | random: piss potta och
0.00 | 0.33
ours: prata inte nu | random: nu prata inte
1.00 | 0.33
ours: pratar ni aldrig | random: aldrig pratar ni
1.00 | 0.33
ours: pratar och pratar | random: pratar pratar och
1.00 | 0.33
ours: precis mumlar vi | random: precis vi mumlar
1.00 | 0.00
ours: precis som jenny | random: som jenny precis
1.00 | 0.33
ours: precis som lillasyster | random: som precis lillasyster
1.00 | 0.00
ours: precis som majsans | random: precis majsans som
1.00 | 0.00
ours: precis som mormor | random: precis som mormor
1.00 | 1.00
ours: precis som tim | random: precis som tim
1.00 | 1.00
ours: precis som vi | random: precis vi som
1.00 | 0.00
ours: protesterna har tystnat | random: har protesterna tystnat
1.00 | 0.00
ours: och punkt slut | random: slut och punkt
0.00 | 0.00
ours: puss och kram | random: puss kram och
1.00 | 0.00
ours: alva viskar pussas | random: alva pussas viskar
0.00 | 0.33
ours: genast minns raddi | random: raddi minns genast
0.00 | 1.00
ours: melody och raja | random: raja melody och
0.00 | 0.00
ours: rasmus bryter tystnaden | random: bryter rasmus tystnaden
1.00 | 0.00
ours: rasten var slut | random: slut var rasten
1.00 | 0.00
ours: regeringen gjorde planen | random: gjorde planen regeringen
1.00 | 0.33
ours: rektorn blev skadad | random: blev rektorn skadad
1.00 | 0.00
ours: resultatet var ynkligt | random: var resultatet ynkligt
1.00 | 0.00
ours: retades med henne | random: retades henne med
1.00 | 0.00
ours: surt nickade ricke | random: ricke surt nickade
0.00 | 0.00
ours: du rider barbacka | random: du barbacka rider
0.00 | 0.33
ours: rolig och arg | random: arg rolig och
1.00 | 0.33
ours: tillbaka ditte ropade | random: ditte ropade tillbaka
0.00 | 0.00
ours: ropade han glatt | random: glatt han ropade
1.00 | 0.00
ours: ropade han tillbaka | random: tillbaka ropade han
1.00 | 0.33
ours: ropade jag igen | random: jag ropade igen
1.00 | 0.00
ours: pappa tomas ropade | random: pappa ropade tomas
0.00 | 0.33
ours: igen alva ropar | random: igen ropar alva
0.00 | 0.33
ours: ilsket birgit ropar | random: birgit ilsket ropar
0.00 | 0.33
ours: tillbaka emil ropar | random: tillbaka ropar emil
0.00 | 0.33
ours: ropar en tjej | random: ropar tjej en
1.00 | 0.00
ours: ropar han igen | random: han ropar igen
1.00 | 0.00
ours: ropar han stolt | random: ropar han stolt
1.00 | 1.00
ours: ropar han till | random: ropar han till
1.00 | 1.00
ours: ropar han tillbaka | random: han tillbaka ropar
1.00 | 0.33
ours: ropar hela klassen | random: klassen hela ropar
1.00 | 0.00
ours: sedan hon ropar | random: ropar sedan hon
0.00 | 0.00
ours: triumferande hon ropar | random: triumferande ropar hon
0.00 | 0.33
ours: lyckligt jag ropar | random: jag lyckligt ropar
0.00 | 0.33
ours: ropar jag tillbaka | random: tillbaka ropar jag
1.00 | 0.33
ours: tillbaka jonathan ropar | random: ropar jonathan tillbaka
0.00 | 1.00
ours: tillbaka maja ropar | random: maja ropar tillbaka
0.00 | 0.00
ours: triumferande maja ropar | random: triumferande ropar maja
0.00 | 0.33
ours: ivrigt majsan ropar | random: majsan ivrigt ropar
0.00 | 0.33
ours: morfar majsans ropar | random: morfar ropar majsans
0.00 | 0.33
ours: ebba och rut | random: och rut ebba
0.00 | 0.00
ours: tussen i rycker | random: i tussen rycker
0.00 | 0.33
ours: ryssland vann damstafetten | random: damstafetten ryssland vann
1.00 | 0.33
ours: rask arvid sa | random: sa arvid rask
0.00 | 1.00
ours: glatt erik sa | random: erik sa glatt
0.00 | 0.00
ours: ironiskt erik sa | random: sa erik ironiskt
0.00 | 1.00
ours: irriterat erik sa | random: erik irriterat sa
0.00 | 0.33
ours: ivrigt erik sa | random: sa erik ivrigt
0.00 | 1.00
ours: oroligt erik sa | random: erik oroligt sa
0.00 | 0.33
ours: surt sa erik | random: sa erik surt
0.33 | 1.00
ours: mamma sa eriks | random: mamma eriks sa
0.33 | 0.00
ours: molnet glada sa | random: sa glada molnet
0.00 | 1.00
ours: sa han glatt | random: han glatt sa
1.00 | 0.33
ours: igen sa han | random: han igen sa
0.33 | 0.33
ours: ilsket sa han | random: sa ilsket han
0.33 | 0.00
ours: imponerat sa han | random: sa imponerat han
0.33 | 0.00
ours: sedan sa han | random: sa han sedan
0.33 | 1.00
ours: sa han stolt | random: stolt sa han
1.00 | 0.33
ours: surt sa han | random: surt sa han
0.33 | 0.33
ours: tyst sa han | random: tyst sa han
0.33 | 0.33
ours: vi sa han | random: han vi sa
0.33 | 0.33
ours: yrvaket sa han | random: han sa yrvaket
0.33 | 0.00
ours: sa hon bara | random: hon sa bara
1.00 | 0.00
ours: liten sa hon | random: sa liten hon
0.33 | 0.00
ours: sedan sa hon | random: hon sa sedan
0.33 | 0.00
ours: surt sa hon | random: hon sa surt
0.33 | 0.00
ours: tyst sa hon | random: hon sa tyst
0.33 | 0.00
ours: surt sa jag | random: jag surt sa
0.33 | 0.33
ours: sa min bror | random: min bror sa
1.00 | 0.33
ours: ivrigt sa pappa | random: ivrigt pappa sa
0.33 | 0.00
ours: sa sara glatt | random: sa glatt sara
1.00 | 0.00
ours: pappa sa tomas | random: pappa sa tomas
0.33 | 0.33
ours: e uffe sa | random: e uffe sa
0.00 | 0.00
ours: rickberg uffe sa | random: rickberg sa uffe
0.00 | 0.33
ours: saaben inte funkar | random: inte saaben funkar
0.00 | 0.33
ours: percy sa sablar | random: sa percy sablar
0.00 | 0.33
ours: sagt och gjort | random: sagt gjort och
1.00 | 0.00
ours: saknar du henne | random: henne du saknar
1.00 | 0.00
ours: han saknar mig | random: saknar han mig
0.00 | 1.00
ours: samla ihop tyglarna | random: tyglarna ihop samla
1.00 | 0.00
ours: dass dumma samma | random: samma dumma dass
0.00 | 1.00
ours: samma gamla dass | random: samma dass gamla
1.00 | 0.00
ours: samma gamla hus | random: hus samma gamla
1.00 | 0.33
ours: samma som jag | random: som samma jag
1.00 | 0.00
ours: fors trista samma | random: trista samma fors
0.00 | 0.00
ours: samordningsminister sedan NUMBER | random: NUMBER sedan samordningsminister
1.00 | 0.00
ours: samra sa inget | random: samra sa inget
1.00 | 1.00
ours: samra svarade inte | random: samra svarade inte
1.00 | 1.00
ours: sa sara inget | random: sara inget sa
0.00 | 0.00
ours: sara var sjuk | random: sara var sjuk
1.00 | 1.00
ours: satte sig ner | random: ner sig satte
1.00 | 0.00
ours: sedan ett till | random: sedan ett till
1.00 | 1.00
ours: sedan han fattade | random: fattade han sedan
0.00 | 0.33
ours: sedan han flinade | random: han flinade sedan
0.00 | 0.00
ours: sedan har vi | random: sedan har vi
1.00 | 1.00
ours: sedan kom klasse | random: klasse kom sedan
1.00 | 0.00
ours: sedan kommer jag | random: jag kommer sedan
1.00 | 0.00
ours: maja kommer sedan | random: maja kommer sedan
0.00 | 0.00
ours: sedan med joel | random: sedan med joel
1.00 | 1.00
ours: hon minns sedan | random: sedan minns hon
0.00 | 1.00
ours: sedan han nickade | random: han sedan nickade
0.00 | 0.33
ours: mat serverades sedan | random: mat sedan serverades
0.00 | 0.33
ours: sedan han somnade | random: somnade han sedan
0.00 | 0.33
ours: sedan hon somnade | random: hon somnade sedan
0.00 | 0.00
ours: sedan stannade den | random: den sedan stannade
1.00 | 0.33
ours: sedan jag stortjuter | random: sedan stortjuter jag
0.00 | 1.00
ours: han flyr sen | random: flyr sen han
0.00 | 0.00
ours: sen kom anton | random: sen kom anton
1.00 | 1.00
ours: ser hon sen | random: ser sen hon
0.33 | 0.00
ours: sen skrattar hon | random: sen skrattar hon
1.00 | 1.00
ours: sen de somnar | random: sen de somnar
0.00 | 0.00
ours: pojken dog senare | random: senare pojken dog
0.00 | 0.00
ours: lyda brukar sepp | random: lyda sepp brukar
0.00 | 0.33
ours: ser du inte | random: inte ser du
1.00 | 0.33
ours: du ser kyrktornet | random: kyrktornet du ser
0.00 | 0.00
ours: nu ser du | random: ser du nu
0.33 | 1.00
ours: du ser svarten | random: ser svarten du
0.00 | 0.00
ours: vi ses igen | random: igen vi ses
0.00 | 0.00
ours: sex personer dog | random: sex dog personer
1.00 | 0.00
ours: sida vid sida | random: vid sida sida
1.00 | 0.33
ours: jag och simon | random: simon jag och
0.00 | 0.00
ours: sistan kom hit | random: hit sistan kom
1.00 | 0.33
ours: pappa sa sju | random: pappa sa sju
0.00 | 0.00
ours: prrs heter sjukdomen | random: sjukdomen heter prrs
0.00 | 1.00
ours: ska du dit | random: du dit ska
1.00 | 0.33
ours: du ska resa | random: ska du resa
0.00 | 1.00
ours: du ska studera | random: ska studera du
0.00 | 0.00
ours: du ska ut | random: ut du ska
0.00 | 0.00
ours: ska vara hemma | random: ska vara hemma
1.00 | 1.00
ours: vi ska bada | random: vi ska bada
0.00 | 0.00
ours: vi ska dansa | random: vi dansa ska
0.00 | 0.33
ours: vi ska sadla | random: ska vi sadla
0.00 | 1.00
ours: vi ska sova | random: ska sova vi
0.00 | 0.00
ours: vi ska sticka | random: vi ska sticka
0.00 | 0.00
ours: vi ska trava | random: ska vi trava
0.00 | 1.00
ours: skit i henne | random: i henne skit
1.00 | 0.33
ours: skit i honom | random: i skit honom
1.00 | 0.00
ours: jonathan svarade skitsnack | random: svarade jonathan skitsnack
0.00 | 0.33
ours: tobias muttrade skralt | random: muttrade skralt tobias
0.00 | 0.00
ours: hugo galne skrek | random: skrek hugo galne
0.00 | 0.00
ours: de andra skriker | random: de skriker andra
0.33 | 0.00
ours: jag skriker ilsket | random: skriker ilsket jag
0.00 | 0.00
ours: skriv en lista | random: en lista skriv
1.00 | 0.33
ours: skriva ett brev | random: ett brev skriva
1.00 | 0.33
ours: cykelsparkade och skruvade | random: och skruvade cykelsparkade
0.00 | 0.00
ours: jag skulle brumma | random: skulle brumma jag
0.00 | 0.00
ours: jag skulle svara | random: skulle jag svara
0.00 | 1.00
ours: eskil mamma skulle | random: mamma eskil skulle
0.00 | 0.33
ours: mamma skynda dig | random: mamma dig skynda
0.33 | 0.00
ours: mormor skynda dig | random: skynda dig mormor
0.33 | 1.00
ours: skynda dig nu | random: dig skynda nu
1.00 | 0.00
ours: tess skynda dig | random: dig skynda tess
0.33 | 0.00
ours: tess slappna av | random: slappna av tess
0.33 | 1.00
ours: slog du dig | random: dig du slog
1.00 | 0.00
ours: mamma sluta nu | random: mamma nu sluta
0.33 | 0.00
ours: pappa sluta nu | random: sluta pappa nu
0.33 | 0.00
ours: det smakar bra | random: bra smakar det
0.00 | 0.33
ours: snabba dig nu | random: snabba nu dig
1.00 | 0.00
ours: och snackar snackar | random: snackar och snackar
0.33 | 1.00
ours: han viskade snart | random: han snart viskade
0.00 | 0.33
ours: maskar och sniglar | random: maskar och sniglar
0.00 | 0.00
ours: fix sven snyftade | random: sven fix snyftade
0.00 | 0.33
ours: snyggt sa han | random: snyggt han sa
1.00 | 0.00
ours: socialminister sedan NUMBER | random: socialminister NUMBER sedan
1.00 | 0.00
ours: socialsekreteraren har tystnadsplikt | random: har socialsekreteraren tystnadsplikt
1.00 | 0.00
ours: solen gick ner | random: solen gick ner
1.00 | 1.00
ours: som en blomsterkrans | random: blomsterkrans en som
1.00 | 0.00
ours: som en inbrottstjuv | random: inbrottstjuv en som
1.00 | 0.00
ours: som i dag | random: i dag som
1.00 | 0.33
ours: som tur var | random: var tur som
1.00 | 0.00
ours: skatten som vaktade | random: skatten vaktade som
0.33 | 0.00
ours: vet du sommarstugorna | random: sommarstugorna du vet
0.00 | 1.00
ours: soon muttrade han | random: muttrade han soon
1.00 | 0.33
ours: sorry sa han | random: sa sorry han
1.00 | 0.00
ours: spanade omkring sig | random: spanade sig omkring
1.00 | 0.00
ours: spanjoren var stor | random: stor var spanjoren
1.00 | 0.00
ours: speciellt inte manuel | random: manuel speciellt inte
1.00 | 0.33
ours: spelar du match | random: du spelar match
1.00 | 0.00
ours: jag spottade fram | random: jag spottade fram
0.00 | 0.00
ours: hon sprang runt | random: sprang runt hon
0.00 | 0.00
ours: spyflugorna sa ingenting | random: spyflugorna ingenting sa
1.00 | 0.00
ours: mormor gamla stackars | random: stackars mormor gamla
0.00 | 0.00
ours: ulric lille stackars | random: stackars lille ulric
0.00 | 1.00
ours: freij pastor stackars | random: pastor stackars freij
0.00 | 0.00
ours: staffan ler lite | random: ler staffan lite
1.00 | 0.00
ours: igen ringer staffan | random: ringer igen staffan
0.00 | 0.33
ours: generat skrattar staffan | random: staffan skrattar generat
0.00 | 1.00
ours: tyst skrattar staffan | random: staffan skrattar tyst
0.00 | 1.00
ours: staffan jag svarar | random: svarar jag staffan
0.00 | 0.33
ours: morfar stanna bilen | random: bilen stanna morfar
0.33 | 0.00
ours: starten gick bra | random: gick bra starten
1.00 | 0.33
ours: statsminister sedan NUMBER | random: NUMBER statsminister sedan
1.00 | 0.33
ours: regeringen leder statsministern | random: leder statsministern regeringen
0.00 | 0.00
ours: alhaji jeng stav | random: alhaji stav jeng
0.33 | 0.00
ours: stefan log brett | random: log brett stefan
1.00 | 0.33
ours: stefan sa inget | random: stefan sa inget
1.00 | 1.00
ours: klasse sa stiligt | random: sa klasse stiligt
0.00 | 0.33
ours: domarn tiden stoppa | random: stoppa tiden domarn
0.00 | 1.00
ours: anne sa stormar | random: anne sa stormar
0.00 | 0.00
ours: strejken var olaglig | random: strejken var olaglig
1.00 | 1.00
ours: pappa sa struntprat | random: sa pappa struntprat
0.00 | 0.33
ours: pojkar inte svara | random: inte svara pojkar
0.00 | 0.00
ours: den andra svarar | random: andra svarar den
